ID,Cohort,ReferenceCoded,Reference,YearPublished,YearDataCollection,StudyType,Country,AgeMean,AgeRangeLower,AgeRangeUpper,OutcomeDefinitionLabel,Severity,Predictor,Predictor_clean,ReverseD,PredictorCoded,PredictorBroad,Test_dependency,Rcode,metaP_code,effectType,ratesControl,IncludeStudy,IncludeD,
1,Thomas,Thomas_survey,"Thomas, Huw. ""A community survey of adverse effects of cannabis use."" Drug and alcohol dependence 42, no. 3 (1996): 201-207.",1996,1994-1994,Observational,NewZealand,27,18,35,Can.PLE,psych_like,Gender (male vs. female),Gender (male),yes,Gender,Demographic,independent,extract_thomas_gender,pEstimate_thomas_gender,cohen,,Yes,Yes,
2,Thomas,Thomas_survey,"Thomas, Huw. ""A community survey of adverse effects of cannabis use."" Drug and alcohol dependence 42, no. 3 (1996): 201-207.",1996,1994-1994,Observational,NewZealand,27,18,35,Can.PLE,psych_like,Frequency (heavy vs. light),Frequency (heavy),no,CannabisSeverity,CannabisHistory,independent,extract_thomas_frequency,pEstimate_thomas_frequency,cohen,,Yes,Yes,
3,Thomas,Thomas_survey,"Thomas, Huw. ""A community survey of adverse effects of cannabis use."" Drug and alcohol dependence 42, no. 3 (1996): 201-207.",1996,1994-1994,Observational,NewZealand,27,18,35,Can.PLE,psych_like,current vs. former user,Cannabis use (current),yes,CannabisSeverity,CannabisHistory,independent,extract_thomas_currentCan,pEstimate_thomas_currentCan,cohen,,Yes,Yes,
4,Thomas,Thomas_survey,"Thomas, Huw. ""A community survey of adverse effects of cannabis use."" Drug and alcohol dependence 42, no. 3 (1996): 201-207.",1996,1994-1994,Observational,NewZealand,27,18,35,Can.PLE,psych_like,Cannabis dependency (present vs. absent),Cannabis dependency,no,CannabisSeverity,CannabisHistory,independent,extract_thomas_dependeny,pEstimate_thomas_dependeny,cohen,,Yes,Yes,
5,Thomas,Thomas_survey,"Thomas, Huw. ""A community survey of adverse effects of cannabis use."" Drug and alcohol dependence 42, no. 3 (1996): 201-207.",1996,1994-1994,Observational,NewZealand,27,18,35,Can.PLE,psych_like,rates,rates,no,rates,rates,NA,thomas1996_canPLEDF,NA,rates,,Yes,Yes,
,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sexton,Sexton_survey,"Sexton, Michelle, Carrie Cuttler, and Laurie K. Mischley. ""A survey of cannabis acute effects and withdrawal symptoms: Differential responses across user types and age."" The Journal of Alternative and Complementary Medicine 25, no. 3 (2019): 326-335.",2019,2013-2018,Observational,US,34.96,18,80,Can.PAR,psych_like,Recreational use (vs. medical),Recreational use (vs. medical),no,Reason (medicinal vs. recreational),CannabisHistory,independent,extract_SextonParanoia_reasonUse,pEstimate_SextonParanoia_reasonUse,cohen,,Yes,Yes,
8,Sexton,Sexton_survey,"Sexton, Michelle, Carrie Cuttler, and Laurie K. Mischley. ""A survey of cannabis acute effects and withdrawal symptoms: Differential responses across user types and age."" The Journal of Alternative and Complementary Medicine 25, no. 3 (2019): 326-335.",2019,2013-2018,Observational,US,34.96,18,80,Can.HAL,psych_like,Recreational use (vs. medical),Recreational use (vs. medical),no,Reason (medicinal vs. recreational),CannabisHistory,independent,extract_SextonHallucinations_reasonUse,pEstimate_SextonHallucinations_reasonUse,cohen,,Yes,Yes,
9,Sexton,Sexton_survey,"Sexton, Michelle, Carrie Cuttler, and Laurie K. Mischley. ""A survey of cannabis acute effects and withdrawal symptoms: Differential responses across user types and age."" The Journal of Alternative and Complementary Medicine 25, no. 3 (2019): 326-335.",2019,2013-2018,Observational,US,34.96,18,80,Can.PAR,psych_like,Age,Age,yes,Age,Demographic,independent,extract_SextonParanoiaAge,pEstimate_SextonParanoiaAge,cohen,,Yes,Yes,
10,Sexton,Sexton_survey,"Sexton, Michelle, Carrie Cuttler, and Laurie K. Mischley. ""A survey of cannabis acute effects and withdrawal symptoms: Differential responses across user types and age."" The Journal of Alternative and Complementary Medicine 25, no. 3 (2019): 326-335.",2019,2013-2018,Observational,US,34.96,18,80,Can.HAL,psych_like,Age,Age,yes,Age,Demographic,independent,extract_SextonHallucinationAge,pEstimate_SextonHallucinationAge,cohen,,Yes,Yes,
